id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K517039,63.891158,12.104841,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2021-07-19,2021,Verdal (N),Melååsr ,Rovviltskade,Antatt sikker
K517063,62.804285,10.828087,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Sau,2021-07-19,2021,Midtre Gauldal (N),Hestlia ,Rovviltskade,Antatt sikker
K517111,63.747345,10.6004,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Sau,2021-07-22,2021,Indre Fosen (N),Leksvika,Rovviltskade,Dokumentert
K517122,59.504336,11.345304,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i inngjerdet innmark.,Gaupe,Sau,2021-07-23,2021,Indre Østfold (N),Fossum,Rovviltskade,Antatt sikker
K517141,68.786845,18.60256,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2021-07-24,2021,Bardu (N),Ratberget,Rovviltskade,Dokumentert
K517183,61.201567,10.390612,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2021-07-26,2021,Lillehammer (N),Skansen,Rovviltskade,Dokumentert
K517203,62.34165,7.622462,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2021-07-26,2021,Fjord (N),Steindalen,Rovviltskade,Dokumentert
K517204,62.318769,7.4571,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2021-07-27,2021,Fjord (N),Heirøra,Rovviltskade,Dokumentert
K517209,59.749402,11.270147,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i inngjerdet innmark.,Gaupe,Sau,2021-07-27,2021,Indre Østfold (N),Fjøs Søñdre/Båstad,Rovviltskade,Usikker
K517223,62.343324,7.62104,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2021-07-28,2021,Fjord (N),Steindalen,Rovviltskade,Dokumentert
K517302,61.372195,10.239763,Geit skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Geit,2021-07-31,2021,Øyer (N),Pålsrud Midtre ,Rovviltskade,Dokumentert
