id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K218604,61.70407,9.461384,Sau skadet av ulv,Ett dyr er  skadd og ikke avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i innmark.,Ulv,Sau,2002-01-20,2002,Sel (N),Øvre Haugen,Rovviltskade,Dokumentert
K218611,69.448397,25.120185,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2002-02-06,2002,Kárášjohka - Karasjok (N),Jiesvarre,Rovviltskade,Dokumentert
K218642,66.993147,15.42369,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2002-02-27,2002,Saltdal (N),Store Gåsvatn,Rovviltskade,Dokumentert
K218654,69.078,25.603824,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2002-02-15,2002,Kárášjohka - Karasjok (N),Cuolggujavri,Rovviltskade,Dokumentert
K218674,64.7471,11.594984,Sau skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Sau,2002-01-28,2002,Nærøysund (N),Storøya,Rovviltskade,Dokumentert
K218689,68.90578,22.868298,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2002-01-28,2002,Guovdageaidnu - Kautokeino (N),Galanito,Rovviltskade,Dokumentert
K218707,69.479534,24.401337,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2002-03-20,2002,Kárášjohka - Karasjok (N),Sør for Corutjavri,Rovviltskade,Dokumentert
K218720,61.869021,8.277583,Sau skadet av gaupe,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i innmark.,Gaupe,Sau,2002-03-21,2002,Skjåk (N),Asplund,Rovviltskade,Antatt sikker
K218738,69.32941,25.069598,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2002-03-18,2002,Kárášjohka - Karasjok (N),Suolggaskaidi,Rovviltskade,Dokumentert
K218754,61.871805,9.026612,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i innmark.,Ulv,Sau,2002-03-30,2002,Vågå (N),Valbjør,Rovviltskade,Dokumentert
